Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Mission Hills, KS",Sep-15,$727K,-3.00%,-13.60%,7,133.30%,133.30%,5,-37.50%,-37.50%,,,,54,-28,-219,,,
"Mission Hills, KS",Oct-15,$650K,-10.60%,-45.80%,3,-57.10%,-40.00%,2,-60.00%,-71.40%,,,,199,145,90,,,
"Mission Hills, KS",Nov-15,$951K,46.30%,8.00%,4,33.30%,-42.90%,5,150.00%,0.00%,,,,53,-146,-52,,,
"Mission Hills, KS",Dec-15,$961K,1.10%,24.00%,2,-50.00%,-33.30%,3,-40.00%,50.00%,,,,132,79,39,,,
"Mission Hills, KS",Jan-16,"$1,225K",27.40%,23.70%,1,-50.00%,-66.70%,6,100.00%,20.00%,,,,249,117,-235,,,
"Mission Hills, KS",Feb-16,$953K,-22.20%,17.60%,5,400.00%,66.70%,14,133.30%,250.00%,,,,213,-36,-58,,,
"Mission Hills, KS",Mar-16,$701K,-26.40%,-9.50%,5,0.00%,-28.60%,13,-7.10%,116.70%,,,,247,34,109,,,
"Mission Hills, KS",Apr-16,$900K,28.40%,35.40%,7,40.00%,600.00%,16,23.10%,77.80%,,,,43,-204,-107,,,
"Mission Hills, KS",May-16,$725K,-19.50%,-34.70%,4,-42.90%,0.00%,14,-12.50%,55.60%,,,,40,-3,-53,,,
"Mission Hills, KS",Jun-16,"$1,001K",38.20%,33.10%,14,250.00%,40.00%,12,-14.30%,100.00%,,,,44,4,-50,,,
"Mission Hills, KS",Jul-16,$880K,-12.10%,-0.60%,11,-21.40%,57.10%,5,-58.30%,-16.70%,,,,49,5,-227,,,
"Mission Hills, KS",Aug-16,$863K,-2.00%,15.00%,6,-45.50%,100.00%,3,-40.00%,-62.50%,,,,58,9,-24,,,
"Mission Hills, KS",Sep-16,$744K,-13.80%,2.30%,6,0.00%,-14.30%,5,66.70%,0.00%,,,,60,2,6,,,
"Mission Hills, KS",Oct-16,$820K,10.30%,26.20%,3,-50.00%,0.00%,9,80.00%,350.00%,,,,67,7,-132,,,
"Mission Hills, KS",Nov-16,$570K,-30.50%,-40.00%,4,33.30%,0.00%,3,-66.70%,-40.00%,,,,127,60,74,,,
"Mission Hills, KS",Dec-16,"$1,455K",155.30%,51.40%,4,0.00%,100.00%,3,0.00%,0.00%,,,,258,131,126,,,
"Mission Hills, KS",Jan-17,$794K,-45.40%,-35.20%,5,25.00%,400.00%,3,0.00%,-50.00%,,,,95,-163,-154,,,
"Mission Hills, KS",Feb-17,$700K,-11.80%,-26.50%,1,-80.00%,-80.00%,9,200.00%,-35.70%,,,,131,36,-82,,,
"Mission Hills, KS",Mar-17,"$1,450K",107.10%,106.80%,3,200.00%,-40.00%,14,55.60%,7.70%,,,,145,14,-102,,,
"Mission Hills, KS",Apr-17,"$1,202K",-17.10%,33.50%,6,100.00%,-14.30%,10,-28.60%,-37.50%,,,,46,-99,3,,,
"Mission Hills, KS",May-17,$713K,-40.70%,-1.70%,5,-16.70%,25.00%,11,10.00%,-21.40%,,,,287,241,247,,,
"Mission Hills, KS",Jun-17,"$1,100K",54.40%,9.90%,9,80.00%,-35.70%,15,36.40%,25.00%,,,,119,-168,75,,,
"Mission Hills, KS",Jul-17,$712K,-35.30%,-19.10%,4,-55.60%,-63.60%,3,-80.00%,-40.00%,,,,133,14,84,,,
"Mission Hills, KS",Aug-17,"$1,100K",54.50%,27.50%,9,125.00%,50.00%,8,166.70%,166.70%,,,,90,-43,32,,,
"Mission Hills, KS",Sep-17,"$1,000K",-9.10%,34.50%,9,0.00%,50.00%,7,-12.50%,40.00%,,,,49,-41,-11,,,
"Mission Hills, KS",Oct-17,"$1,176K",17.60%,43.40%,6,-33.30%,100.00%,8,14.30%,-11.10%,,,,75,26,8,,,
"Mission Hills, KS",Nov-17,"$1,700K",44.50%,198.20%,2,-66.70%,-50.00%,4,-50.00%,33.30%,,,,153,78,26,,,
"Mission Hills, KS",Dec-17,"$1,200K",-29.40%,-17.50%,5,150.00%,25.00%,2,-50.00%,-33.30%,,,,31,-122,-227,,,
"Mission Hills, KS",Jan-18,"$1,161K",-3.30%,46.20%,6,20.00%,20.00%,6,200.00%,100.00%,,,,74,43,-21,,,
"Mission Hills, KS",Feb-18,$585K,-49.60%,-16.40%,4,-33.30%,300.00%,6,0.00%,-33.30%,,,,148,74,17,,,
"Mission Hills, KS",Mar-18,$730K,24.80%,-49.70%,3,-25.00%,0.00%,14,133.30%,0.00%,,,,519,371,374,,,
"Mission Hills, KS",Apr-18,$716K,-2.00%,-40.40%,6,100.00%,0.00%,11,-21.40%,10.00%,,,,134,-385,88,,,
"Mission Hills, KS",May-18,$813K,13.50%,14.00%,6,0.00%,20.00%,13,18.20%,18.20%,,,,68,-66,-219,,,
"Mission Hills, KS",Jun-18,$936K,15.20%,-14.90%,10,66.70%,11.10%,10,-23.10%,-33.30%,,,,48,-20,-71,,,
"Mission Hills, KS",Jul-18,"$1,220K",30.40%,71.30%,6,-40.00%,50.00%,10,0.00%,233.30%,,,,72,24,-61,,,
"Mission Hills, KS",Aug-18,$727K,-40.40%,-33.90%,8,33.30%,-11.10%,6,-40.00%,-25.00%,,,,64,-8,-26,,,
"Mission Hills, KS",Sep-18,$860K,18.30%,-14.00%,2,-75.00%,-77.80%,6,0.00%,-14.30%,,,,11,-53,-38,,,
"Mission Hills, KS",Oct-18,$920K,6.90%,-21.80%,10,400.00%,66.70%,10,66.70%,25.00%,,,,79,68,4,,,
"Mission Hills, KS",Nov-18,$760K,-17.40%,-55.30%,6,-40.00%,200.00%,6,-40.00%,50.00%,,,,81,2,-72,,,
"Mission Hills, KS",Dec-18,"$1,049K",38.00%,-12.60%,2,-66.70%,-60.00%,1,-83.30%,-50.00%,,,,37,-44,6,,,
"Mission Hills, KS",Jan-19,$870K,-17.10%,-25.10%,3,50.00%,-50.00%,7,600.00%,16.70%,,,,37,0,-37,,,
"Mission Hills, KS",Feb-19,$415K,-52.30%,-29.10%,2,-33.30%,-50.00%,5,-28.60%,-16.70%,,,,27,-10,-121,,,
"Mission Hills, KS",Mar-19,$759K,82.90%,3.90%,2,0.00%,-33.30%,12,140.00%,-14.30%,,,,58,31,-461,,,
"Mission Hills, KS",Apr-19,$714K,-5.90%,-0.20%,5,150.00%,-16.70%,7,-41.70%,-36.40%,,,,234,176,100,,,
"Mission Hills, KS",May-19,$897K,25.70%,10.40%,7,40.00%,16.70%,16,128.60%,23.10%,,,,29,-205,-39,,,
"Mission Hills, KS",Jun-19,"$1,048K",16.80%,12.00%,8,14.30%,-20.00%,5,-68.80%,-50.00%,,,,153,124,105,,,
"Mission Hills, KS",Jul-19,"$1,018K",-2.80%,-16.60%,7,-12.50%,16.70%,3,-40.00%,-70.00%,,,,110,-43,38,,,
"Mission Hills, KS",Aug-19,$875K,-14.00%,20.40%,8,14.30%,0.00%,13,333.30%,116.70%,,,,68,-42,4,,,
"Mission Hills, KS",Sep-19,"$1,043K",19.10%,21.20%,6,-25.00%,200.00%,10,-23.10%,66.70%,,,,18,-50,7,,,
"Mission Hills, KS",Oct-19,$970K,-7.00%,5.40%,11,83.30%,10.00%,6,-40.00%,-40.00%,,,,115,97,36,,,
"Mission Hills, KS",Nov-19,"$1,450K",49.50%,90.80%,5,-54.50%,-16.70%,5,-16.70%,-16.70%,,,,53,-62,-28,,,
"Mission Hills, KS",Dec-19,$790K,-45.50%,-24.70%,10,100.00%,400.00%,1,-80.00%,0.00%,,,,94,41,57,,,
"Mission Hills, KS",Jan-20,"$1,658K",109.90%,90.60%,2,-80.00%,-33.30%,7,600.00%,0.00%,,,,119,25,82,,,
"Mission Hills, KS",Feb-20,$878K,-47.10%,111.60%,3,50.00%,50.00%,6,-14.30%,20.00%,,,,61,-58,34,,,
"Mission Hills, KS",Mar-20,"$1,138K",29.60%,50.00%,5,66.70%,150.00%,5,-16.70%,-58.30%,,,,87,26,29,,,
"Mission Hills, KS",Apr-20,"$1,080K",-5.10%,51.20%,4,-20.00%,-20.00%,8,60.00%,14.30%,,,,28,-59,-206,,,
"Mission Hills, KS",May-20,"$1,410K",30.60%,57.10%,2,-50.00%,-71.40%,15,87.50%,-6.30%,,,,8,-20,-21,,,
"Mission Hills, KS",Jun-20,$975K,-30.80%,-6.90%,11,450.00%,37.50%,12,-20.00%,140.00%,,,,30,22,-123,,,
"Mission Hills, KS",Jul-20,"$1,045K",7.20%,2.70%,17,54.50%,142.90%,10,-16.70%,233.30%,,,,36,6,-74,,,
"Mission Hills, KS",Aug-20,$785K,-24.90%,-10.30%,7,-58.80%,-12.50%,9,-10.00%,-30.80%,,,,124,88,56,,,
"Mission Hills, KS",Sep-20,"$1,075K",36.90%,3.10%,9,28.60%,50.00%,8,-11.10%,-20.00%,,,,17,-107,-1,,,
"Mission Hills, KS",Oct-20,$985K,-8.40%,1.50%,5,-44.40%,-54.50%,6,-25.00%,0.00%,,,,22,5,-93,,,
"Mission Hills, KS",Nov-20,"$1,183K",20.10%,-18.40%,8,60.00%,60.00%,6,0.00%,20.00%,,,,50,28,-3,,,
"Mission Hills, KS",Dec-20,$840K,-29.00%,6.30%,7,-12.50%,-30.00%,1,-83.30%,0.00%,,,,83,33,-11,,,
"Mission Hills, KS",Jan-21,$480K,-42.90%,-71.00%,2,-71.40%,0.00%,4,300.00%,-42.90%,,,,124,41,5,,,
